Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
90,13089,95000139,GEM/2025/B/6931513,,,,,,,"Junagarh, Gujarat, India",05-12-2025,,15000,,,,,,,N/A,,0,,,,,
91,13090,95000218,GEM/2025/B/6931853,,,,,,,"Jalandhar, Punjab, India",05-12-2025,,60,,,,,,,N/A,,0,,,,,
92,13091,95000316,GEM/2025/B/6931294,,,,,,,"Bhopal, Madhya Pradesh, India",05-12-2025,,50,,,,,,,N/A,,0,,,,,
93,13092,95000383,GEM/2025/B/6930469,,,,,,,"New Delhi, Delhi, India",16-12-2025,ref to doc,90000,,,,,,,N/A,,0,,,,,
94,13094,95000450,GEM/2025/B/6929872,,,,,,,"Kutch, Gujarat, India",06-12-2025,,50,,,,,,,N/A,,0,,,,,
95,13095,95000507,GEM/2025/B/6929425,,,,,,,"Patna, Bihar, India",16-12-2025,,1,,,,,,,N/A,,0,,,,,
96,13096,95000550,GEM/2025/B/6931652,,,,,,,"Junagarh, Gujarat, India",05-12-2025,,5300,,,,,,,N/A,,0,,,,,
97,13102,94992556,GEM/2025/B/6911782,,,,,,,"Singtam, Sikkim, India",10-12-2025,,22,,,,,,,N/A,,0,,,,,
98,13103,95000119,GEM/2025/B/6930869,,,,,,,"Dahod, Gujarat, India",05-12-2025,,1,,,,,,,N/A,,0,,,,,
99,13104,95000445,GEM/2025/B/6929728,,,,,,,"Bangalore, Karnataka, India",10-12-2025,,1,,,,,,,N/A,,0,,,,,
